Name,SMILES,HOMO /eV,LUMO /eV,EG /eV
146_m,O=S(=O)(O)c1cc2nsnc2cc1S(=O)(=O)O,-8.044395,-3.662788,4.381607
147_m,Fc1ccc2ccccc2c1,-5.922379,-1.137248,4.785131
148_m,N#Cc1cc2nonc2cc1C#N,-7.984266,-3.825956,4.15831
149_m,Sc1ccoc1,-5.830559,0.323954,6.154513
150_m,Brc1cnc2cscc2n1,-6.53444,-2.561978,3.972462
151_m,FC(F)(F)c1ccc2c(c1)SCS2,-5.972355,-0.97979,4.992565
152_m,FC(F)(F)c1cc2nonc2cc1C(F)(F)F,-7.750786,-3.280175,4.470612
153_m,Cc1cc2nonc2cc1C,-6.579154,-2.191574,4.38758
154_m,Oc1cc2nsnc2cc1O,-6.193773,-2.051473,4.142299
155_m,COc1cc2nonc2cn1,-6.524576,-2.841131,3.683445
156_m,O=Cc1ccsc1,-6.960587,-1.574703,5.385884
157_m,COc1cnc2cscc2n1,-5.999439,-1.939209,4.06023
158_m,Oc1cscc1O,-5.723484,0.038574,5.762058
159_m,COc1cc2nonc2cc1OC,-6.310526,-1.840259,4.470267
160_m,CC(=O)Oc1ccc2nsnc2c1,-6.622425,-2.400744,4.221682
161_m,N#Cc1cnc2cscc2n1,-6.785566,-3.046098,3.739468
162_m,Sc1ccc2c(c1)SCS2,-5.511918,-0.589999,4.92192
163_m,Oc1cnc2ccccc2n1,-6.439473,-1.786347,4.653126
164_m,Fc1cnc2cscc2n1,-6.419446,-2.394976,4.02447
165_m,Fc1ccc2nccnc2c1,-6.792534,-2.080156,4.712378
166_m,CC(=O)Oc1nc2ccccc2nc1OC(C)=O,-6.821324,-2.013232,4.808092
167_m,Fc1nc2ccccc2nc1F,-7.018983,-2.159482,4.859501
168_m,Brc1ccc2nonc2c1,-7.05407,-2.754364,4.299706
169_m,Sc1cc2nsnc2cn1,-6.36557,-2.891621,3.473949
170_m,COc1nc2cscc2nc1OC,-5.814898,-1.522885,4.292013
171_m,O=Cc1ccc2c(c1)SCS2,-5.981896,-1.838799,4.143097
172_m,O=S(=O)(O)c1cnc2ccccc2n1,-7.364138,-2.810166,4.553972
173_m,O=Cc1cnc2cscc2n1,-6.614899,-2.911657,3.703242
174_m,CC(=O)Nc1cc2nsnc2cn1,-6.363696,-2.711528,3.652169
175_m,Cc1ccoc1,-5.945687,0.675744,6.62143
176_m,O=Cc1cnc2cocc2n1,-6.521312,-2.910459,3.610853
177_m,O=S(=O)(O)c1cc2nsnc2cn1,-7.857215,-3.774405,4.08281
178_m,Brc1ccc2nccnc2c1,-6.82297,-2.221987,4.600983
179_m,FC(F)(F)c1ccc2ncc(C(F)(F)F)nc2c1,-7.50447,-2.754672,4.749797
180_m,N#Cc1ccc2c(c1)SCS2,-6.136821,-1.574492,4.562329
181_m,Sc1ccc2nccnc2c1,-6.227239,-2.010451,4.216788
182_m,CC(=O)Oc1cnc2cocc2n1,-6.175447,-2.204927,3.97052
183_m,FC(F)(F)c1cc2nsnc2cn1,-7.506285,-3.245697,4.260588
184_m,Oc1ccc2nccnc2c1,-6.28229,-1.828594,4.453696
185_m,N#Cc1nc2ccccc2nc1C#N,-7.634781,-3.281336,4.353445
186_m,Brc1ccc2nsnc2c1,-6.79619,-2.642886,4.153304
187_m,N#Cc1cocc1C#N,-7.705898,-1.608288,6.09761
188_m,CC(=O)Oc1cc2nsnc2cc1OC(C)=O,-6.760048,-2.46724,4.292808
189_m,O=S(=O)(O)c1cc2nccnc2cc1S(=O)(=O)O,-7.830762,-3.189926,4.640837
190_m,Oc1cocc1O,-5.660847,0.746764,6.407611
191_m,O=Cc1ccc2ccccc2c1,-6.183168,-1.934233,4.248935
192_m,FC(F)(F)c1ccsc1,-6.963692,-0.816472,6.14722
193_m,CC(=O)Nc1ccc2ncc(NC(C)=O)nc2c1,-6.144498,-1.835015,4.309484
194_m,CC(=O)Nc1cc2nonc2cc1NC(C)=O,-6.444533,-2.295795,4.148738
195_m,Oc1cc2ccccc2cc1O,-5.52006,-0.765511,4.754549
196_m,O=S(=O)(O)c1ccsc1,-7.287731,-1.274196,6.013535
197_m,Oc1cc2c(cc1O)SCS2,-5.170137,-0.392176,4.777962
198_m,O=S(=O)(O)c1ccc2nonc2c1,-7.569161,-3.156637,4.412524
199_m,N#Cc1cc2nsnc2cn1,-7.592095,-3.455825,4.13627
200_m,Brc1cc2nonc2cn1,-7.338341,-3.313636,4.024705
201_m,CC(=O)Oc1ccc2nonc2c1,-6.854007,-2.48153,4.372477
202_m,COc1cc2nsnc2cc1OC,-6.117189,-1.842378,4.274811
203_m,Oc1ccc2nsnc2c1,-6.277027,-2.212088,4.064939
204_m,Brc1cnc2ccccc2n1,-6.924724,-2.242188,4.682536
205_m,CC(=O)Oc1cc2c(cc1OC(C)=O)SCS2,-5.707425,-0.613204,5.09422
206_m,CC(=O)Oc1ccc2ncc(OC(C)=O)nc2c1,-6.735116,-2.011603,4.723513
207_m,CC(=O)Nc1cnc2ccccc2n1,-6.334062,-1.836775,4.497287
208_m,CC(=O)Nc1cc2nonc2cn1,-6.64817,-2.839272,3.808898
209_m,FC(F)(F)c1nc2cocc2nc1C(F)(F)F,-6.866606,-3.031156,3.835451
210_m,N#Cc1ccc2nonc2c1,-7.490778,-3.228808,4.26197
211_m,Cc1cscc1C,-6.061254,0.051469,6.112723
212_m,FC(F)(F)c1ccc2nsnc2c1,-7.088543,-2.755843,4.3327
213_m,N#Cc1ccoc1,-6.995999,-0.918426,6.077573
214_m,O=Cc1nc2cscc2nc1C=O,-6.874745,-3.268379,3.606366
215_m,O=Cc1ccc2ncc(C=O)nc2c1,-7.184533,-3.027891,4.156642
216_m,Fc1ccc2c(c1)SCS2,-5.695873,-0.607147,5.088727
217_m,Cc1ccc2nonc2c1,-6.717908,-2.2979,4.420008
218_m,COc1cocc1OC,-5.641974,0.895263,6.537237
219_m,FC(F)(F)c1cc2nonc2cn1,-7.820297,-3.433926,4.386371
220_m,Oc1ccoc1,-5.667637,0.559845,6.227482
221_m,CC(=O)Nc1nc2cocc2nc1NC(C)=O,-5.875192,-2.049701,3.825492
222_m,FC(F)(F)c1cocc1C(F)(F)F,-7.408675,-0.708461,6.700214
223_m,CC(=O)Nc1cnc2cocc2n1,-5.915972,-2.087515,3.828457
224_m,Cc1cc2c(cc1C)SCS2,-5.379688,-0.328597,5.051091
225_m,FC(F)(F)c1cscc1C(F)(F)F,-7.494923,-1.298,6.196923
226_m,Cc1nc2ccccc2nc1C,-6.461789,-1.608071,4.853718
227_m,CC(=O)Nc1ccsc1,-5.823358,-0.36429,5.459067
228_m,c1cnc2cocc2n1,-6.122514,-2.207424,3.91509
229_m,Fc1ccc2ncc(F)nc2c1,-6.997816,-2.218041,4.779776
230_m,Cc1cnc2ccccc2n1,-6.567477,-1.751436,4.816041
231_m,COc1ccc2nccnc2c1,-6.194378,-1.742493,4.451886
232_m,COc1ccc2ncc(OC)nc2c1,-6.006693,-1.460809,4.545884
233_m,Brc1cc2nsnc2cn1,-7.032767,-3.148984,3.883783
234_m,CC(=O)Oc1cc2nonc2cn1,-7.272318,-3.039599,4.232719
235_m,Cc1ccc2nsnc2c1,-6.481216,-2.225624,4.255592
236_m,CNc1cocc1NC,-5.153242,1.171934,6.325176
237_m,Fc1cc2c(cc1F)SCS2,-5.786429,-0.74756,5.038869
238_m,COc1ccsc1,-5.642796,-0.151715,5.491082
239_m,Sc1cc2nccnc2cc1S,-6.478825,-2.186382,4.292443
240_m,O=Cc1cc2c(cc1C=O)SCS2,-6.291215,-2.572357,3.718857
241_m,CNc1nc2ccccc2nc1NC,-5.45461,-0.97691,4.477699
242_m,Brc1ccsc1,-6.524538,-0.64861,5.875928
243_m,O=S(=O)(O)c1cc2ccccc2cc1S(=O)(=O)O,-7.141044,-2.358595,4.782449
