Name,SMILES,HOMO /eV,LUMO /eV,EG /eV,Planarity,SA Score
149,COc1cc2c:C(c3cccc4nonc34):[nH]c2cc1OC,-4.999783,-2.48334,2.516443,0.9999999998152262,2.428570232186757
150,COc1cc2c:C(c3c(C)ccc4nonc34):[nH]c2cc1OC,-5.209844,-2.492007,2.717837,0.993968463548332,2.585634178568238
151,COc1cc2c:C(c3c(C#N)ccc4nonc34):[nH]c2cc1OC,-5.342665,-2.990094,2.352571,0.9999998446420852,2.7370843090067414
152,COc1cc2c:C(c3cc(OC(C)=O)cc4nonc34):[nH]c2cc1OC,-5.032513,-2.511784,2.520729,0.9997205759948558,2.6939725248066964
153,COc1cc2c:C(c3cc(NC(C)=O)cc4nonc34):[nH]c2cc1OC,-5.047887,-2.40161,2.646277,0.9999999547381454,2.6184960175301875
154,CNc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nonc2c1,-5.100326,-2.237954,2.862373,0.999981876425619,2.7158154126856715
155,COc1cc(C2:cc3cc(OC)c(OC)cc3[nH]:2)c2nonc2c1,-4.968395,-2.266182,2.702213,0.9999999992181792,2.5770889912809896
156,COc1cc2c:C(c3cc(C=O)cc4nonc34):[nH]c2cc1OC,-5.443043,-3.109545,2.333498,0.9999895110760236,2.7645398274013893
157,COc1cc2c:C(c3cc(S(=O)(=O)O)cc4nonc34):[nH]c2cc1OC,-5.541265,-3.105281,2.435985,0.9994981775526502,2.7383765916765164
158,COc1cc2c:C(c3cc(C(F)(F)F)cc4nonc34):[nH]c2cc1OC,-5.579552,-2.965903,2.613649,0.999948487850515,2.703381860380416
159,COc1cc2c:C(c3cc(F)cc4nonc34):[nH]c2cc1OC,-5.151868,-2.588483,2.563384,0.9999999999424674,2.6195488638829243
160,COc1cc2c:C(c3cc(O)cc4nonc34):[nH]c2cc1OC,-5.014801,-2.347664,2.667137,0.99999999860024,2.7050467659808266
161,COc1cc2c:C(c3cc(S)cc4nonc34):[nH]c2cc1OC,-5.275258,-2.629674,2.645583,0.9999999857041272,2.932688024722085
162,COc1cc2c:C(c3cc(Br)cc4nonc34):[nH]c2cc1OC,-5.344827,-2.789139,2.555687,0.9999804791505512,2.66118382891789
163,COc1cc2c:C(c3cc(C)cc4nonc34):[nH]c2cc1OC,-4.969094,-2.375578,2.593516,0.9999999573699846,2.5855481645822245
164,COc1cc2c:C(c3cc(C#N)cc4nonc34):[nH]c2cc1OC,-5.326549,-3.05984,2.266709,0.999999997445357,2.7367592253947013
165,COc1cc2c:C(c3c(OC(C)=O)ncc4nonc34):[nH]c2cc1OC,-5.15944,-2.93302,2.226419,0.996972229915342,2.946792067426239
166,COc1cc2c:C(c3c(NC(C)=O)ncc4nonc34):[nH]c2cc1OC,-5.341392,-2.94631,2.395083,0.9676968287778378,2.86783343956761
167,CNc1ncc2nonc2c1C1:cc2cc(OC)c(OC)cc2[nH]:1,-4.863695,-2.571005,2.29269,0.9392418702470156,2.9151879879365072
168,COc1cc2c:C(c3c(OC)ncc4nonc34):[nH]c2cc1OC,-4.870985,-2.788235,2.08275,0.9999999998499282,2.835151198638848
169,COc1cc2c:C(c3c(C=O)ncc4nonc34):[nH]c2cc1OC,-5.624344,-3.27603,2.348314,0.9999943333239694,3.026204041448212
170,COc1cc2c:C(c3c(S(=O)(=O)O)ncc4nonc34):[nH]c2cc1OC,-5.795372,-3.612834,2.182537,0.9773900010851692,3.048092292414135
171,COc1cc2c:C(c3c(C(F)(F)F)ncc4nonc34):[nH]c2cc1OC,-5.367135,-3.147972,2.219163,0.9741746602518666,2.9470969288735667
172,COc1cc2c:C(c3c(F)ncc4nonc34):[nH]c2cc1OC,-5.173316,-3.036777,2.136539,0.9999999992973148,2.895955856889918
173,COc1cc2c:C(c3c(O)ncc4nonc34):[nH]c2cc1OC,-4.945274,-2.778161,2.167113,0.999999999404784,2.9597215911556525
174,COc1cc2c:C(c3c(S)ncc4nonc34):[nH]c2cc1OC,-5.31542,-2.990839,2.324581,0.9992383763577452,3.0816747380087985
175,COc1cc2c:C(c3c(Br)ncc4nonc34):[nH]c2cc1OC,-5.502632,-3.174732,2.3279,0.9994451894519338,2.956868444302504
176,COc1cc2c:C(c3cncc4nonc34):[nH]c2cc1OC,-5.162992,-2.881602,2.28139,0.9999999926830891,2.72089931872522
177,COc1cc2c:C(c3c(C)ncc4nonc34):[nH]c2cc1OC,-5.113538,-2.803182,2.310356,0.9999999752574644,2.7947950177290792
178,COc1cc2c:C(c3c(C#N)ncc4nonc34):[nH]c2cc1OC,-5.492829,-3.293355,2.199473,0.9999990956846416,2.9667217672007204
179,COc1cc2c:C(c3nc(OC(C)=O)cc4nonc34):[nH]c2cc1OC,-5.323208,-2.74465,2.578558,0.9995605609386604,2.9425989281330995
180,COc1cc2c:C(c3nc(NC(C)=O)cc4nonc34):[nH]c2cc1OC,-5.285256,-2.701467,2.583788,0.9999999949211508,2.8216789697131404
181,CNc1cc2nonc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,-5.129352,-2.332339,2.797013,0.9999655020799,2.867537151816105
182,COc1cc2nonc2c(C2:cc3cc(OC)c(OC)cc3[nH]:2)n1,-5.25652,-2.617941,2.638578,0.9999999998981328,2.819486984592025
183,COc1cc2c:C(c3nc(C=O)cc4nonc34):[nH]c2cc1OC,-5.604708,-3.242522,2.362187,0.9999976750382776,2.974888991280988
184,COc1cc2c:C(c3nc(S(=O)(=O)O)cc4nonc34):[nH]c2cc1OC,-5.875257,-3.518959,2.356299,0.9999999957377592,3.0452775400432177
185,COc1cc2c:C(c3nc(C(F)(F)F)cc4nonc34):[nH]c2cc1OC,-5.869708,-3.159794,2.709914,0.9999999499323242,2.915195769758707
186,COc1cc2c:C(c3nc(F)cc4nonc34):[nH]c2cc1OC,-5.597686,-2.911501,2.686185,0.9999902257733922,2.916670542204603
187,COc1cc2c:C(c3nc(O)cc4nonc34):[nH]c2cc1OC,-5.335134,-2.654872,2.680262,0.9999999997871292,2.94448452821859
188,COc1cc2c:C(c3nc(S)cc4nonc34):[nH]c2cc1OC,-5.366443,-2.757613,2.60883,0.999999999854104,3.1086747380088
189,COc1cc2c:C(c3nc(Br)cc4nonc34):[nH]c2cc1OC,-5.637691,-3.01866,2.619031,0.999982204912733,2.922036975771036
190,COc1cc2c:C(c3nccc4nonc34):[nH]c2cc1OC,-5.255914,-2.679542,2.576372,0.9999999993199142,2.660746434109834
191,COc1cc2c:C(c3nc(C)cc4nonc34):[nH]c2cc1OC,-5.213323,-2.619784,2.593539,0.9999999996709203,2.7448964163304765
192,COc1cc2c:C(c3nc(C#N)cc4nonc34):[nH]c2cc1OC,-5.798296,-3.292984,2.505312,0.999999407058095,2.987499024725804
193,COc1cc2c:C(c3nncc4nonc34):[nH]c2cc1OC,-5.618334,-3.120656,2.497677,0.99999493032788,2.88525965526368
194,COc1cc2c:C(c3occ4ncc(OC(C)=O)nc34):[nH]c2cc1OC,-5.066827,-2.419114,2.647713,0.9999981648943296,3.0302956017297733
