Name,SMILES,Donor,Acceptor,D_A EG /eV,A_D EG /eV
6624,COc1cc2cc(N=Cc3cc(C(F)(F)F)cc4c3SCS4)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(C(F)(F)F)cc2c1SCS2,3.845877025,6.278483082
6625,COc1cc2cc(N=Cc3cc(C(F)(F)F)cc4ccccc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1cc(C(F)(F)F)cc2ccccc12,3.471842,6.453371
6626,COc1cc2c:C(c3occc3O):n(C)c2cc1OC,c1occc1O,c1cc2cc(OC)c(OC)cc2n1C,5.973765082,5.385512025
6627,COc1cc(-c2scc3nc(C#N)cnc23)s:C:1c1c(OC)c(OC)cc2cc(C(=O)O)[nH]c12,c1c(OC)c(OC)cc2cc(C(=O)O)[nH]c12,c1scc2nc(C#N)cnc12,2.2686299999999995,5.72179
6628,COc1cc2cc(-c3cc(OC):C(c4cccc5cc(C=O)ccc45):s3)[nH]c2cc1OC,c1cccc2cc(C=O)ccc12,c1cc2cc(OC)c(OC)cc2[nH]1,6.4092,2.9393260000000003
6629,COc1cc2cc(C#Cc3scc4ncc(S(=O)(=O)O)nc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1scc2ncc(S(=O)(=O)O)nc12,1.711554,7.198586
6630,COc1cc2cc(C=Nc3c(Br)ccc4nonc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1c(Br)ccc2nonc12,2.0713030247670003,7.360198082
6631,COc1cc2cc[nH]c2c(C=Cc2cc(NC(C)=O)cc3c2SCS3)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cc(NC(C)=O)cc2c1SCS2,4.331403,5.647275
6632,COc1cc2cc[nH]c2c(C=Cc2cccc3ncc(S(=O)(=O)O)nc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1cccc2ncc(S(=O)(=O)O)nc12,2.063393,7.59017
6633,COc1cc2cc(C#Cc3cc(NC(C)=O)cs3)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(NC(C)=O)cs1,4.461377025,6.129486082
6634,COc1cc(C2:cc3cc(OC)c(OC)cc3n:2C)c2ccccc2c1,c1cc2cc(OC)c(OC)cc2n1C,c1cc(OC)cc2ccccc12,3.927684025,5.721877082
6635,COc1cc2cc(N=Cc3cc(S(=O)(=O)O)cc4nccnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cc(S(=O)(=O)O)cc2nccnc12,2.247115025,7.576532082
6636,COc1cc2cc(N=Cc3cccc4nc(S)cnc34)n(C)c2cc1OC,c1cc2cc(OC)c(OC)cc2n1C,c1cccc2nc(S)cnc12,2.853904025,6.689109082
6637,COc1cc2c(ccn2C)c(C=Nc2cccc3ncc(O)nc23)c1OC,c1c(OC)c(OC)cc2c1ccn2C,c1cccc2ncc(O)nc12,3.039320025,6.745601082
6638,COc1cc2ccn(C)c2c(C=Cc2c(C)ncc3nsnc23)c1OC,c1c(OC)c(OC)cc2ccn(C)c12,c1c(C)ncc2nsnc12,2.0983650247670003,7.102484082
6639,COc1cc2[nH]ccc2c(C=Nc2c(F)ncc3nonc23)c1OC,c1c(OC)c(OC)cc2[nH]ccc12,c1c(F)ncc2nonc12,1.6684340000000004,7.628321
6640,COc1cc2cc[nH]c2c(C=Cc2scc3nc(F)cnc23)c1OC,c1c(OC)c(OC)cc2cc[nH]c12,c1scc2nc(F)cnc12,2.478583,6.645478
6641,COc1cc2cc(C#Cc3cccc4cc(C)ccc34)[nH]c2cc1OC,c1cc2cc(OC)c(OC)cc2[nH]1,c1cccc2cc(C)ccc12,4.0105450000000005,5.923928
